antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Bread'}),frozenset({'Milk'}),0.8,0.7,0.6,0.7499999999999999,1.0714285714285714,1.0,0.040000000000000036,1.1999999999999997,0.3333333333333337,0.6666666666666666,0.1666666666666664,0.8035714285714286
frozenset({'Milk'}),frozenset({'Bread'}),0.7,0.8,0.6,0.8571428571428572,1.0714285714285714,1.0,0.040000000000000036,1.4000000000000004,0.2222222222222224,0.6666666666666666,0.28571428571428586,0.8035714285714286
frozenset({'Bread'}),frozenset({'Butter'}),0.8,0.5,0.5,0.625,1.25,1.0,0.09999999999999998,1.3333333333333333,1.0,0.625,0.25,0.8125
frozenset({'Butter'}),frozenset({'Bread'}),0.5,0.8,0.5,1.0,1.25,1.0,0.09999999999999998,inf,0.3999999999999999,0.625,1.0,0.8125
frozenset({'Butter'}),frozenset({'Milk'}),0.5,0.7,0.4,0.8,1.142857142857143,1.0,0.050000000000000044,1.5000000000000007,0.2500000000000002,0.5000000000000001,0.3333333333333336,0.6857142857142857
"frozenset({'Bread', 'Milk'})",frozenset({'Butter'}),0.6,0.5,0.4,0.6666666666666667,1.3333333333333335,1.0,0.10000000000000003,1.5000000000000004,0.6250000000000001,0.5714285714285714,0.3333333333333335,0.7333333333333334
"frozenset({'Bread', 'Butter'})",frozenset({'Milk'}),0.5,0.7,0.4,0.8,1.142857142857143,1.0,0.050000000000000044,1.5000000000000007,0.2500000000000002,0.5000000000000001,0.3333333333333336,0.6857142857142857
"frozenset({'Milk', 'Butter'})",frozenset({'Bread'}),0.4,0.8,0.4,1.0,1.25,1.0,0.07999999999999996,inf,0.3333333333333332,0.49999999999999994,1.0,0.75
frozenset({'Butter'}),"frozenset({'Bread', 'Milk'})",0.5,0.6,0.4,0.8,1.3333333333333335,1.0,0.10000000000000003,2.0000000000000004,0.5000000000000001,0.5714285714285714,0.5000000000000001,0.7333333333333334
frozenset({'Diaper'}),frozenset({'Milk'}),0.6,0.7,0.4,0.6666666666666667,0.9523809523809526,1.0,-0.019999999999999962,0.9000000000000004,-0.11111111111111092,0.4444444444444446,-0.1111111111111107,0.6190476190476191
frozenset({'Diaper'}),frozenset({'Bread'}),0.6,0.8,0.4,0.6666666666666667,0.8333333333333334,1.0,-0.07999999999999996,0.6,-0.3333333333333332,0.4000000000000001,-0.6666666666666666,0.5833333333333334
"frozenset({'Bread', 'Diaper'})",frozenset({'Milk'}),0.4,0.7,0.3,0.7499999999999999,1.0714285714285714,1.0,0.020000000000000018,1.1999999999999997,0.11111111111111122,0.37499999999999994,0.1666666666666664,0.5892857142857142
"frozenset({'Diaper', 'Milk'})",frozenset({'Bread'}),0.4,0.8,0.3,0.7499999999999999,0.9374999999999998,1.0,-0.020000000000000073,0.7999999999999995,-0.10000000000000037,0.33333333333333326,-0.25000000000000083,0.5624999999999999
frozenset({'Beer'}),frozenset({'Diaper'}),0.5,0.6,0.5,1.0,1.6666666666666667,1.0,0.2,inf,0.8,0.8333333333333333,1.0,0.9166666666666667
frozenset({'Diaper'}),frozenset({'Beer'}),0.6,0.5,0.5,0.8333333333333334,1.6666666666666667,1.0,0.2,3.000000000000001,1.0,0.8333333333333333,0.6666666666666667,0.9166666666666667
frozenset({'Beer'}),frozenset({'Milk'}),0.5,0.7,0.3,0.6,0.8571428571428572,1.0,-0.04999999999999999,0.7500000000000001,-0.24999999999999997,0.33333333333333337,-0.3333333333333332,0.5142857142857142
frozenset({'Beer'}),frozenset({'Bread'}),0.5,0.8,0.3,0.6,0.7499999999999999,1.0,-0.10000000000000003,0.4999999999999999,-0.40000000000000013,0.3,-1.0000000000000007,0.48749999999999993
"frozenset({'Beer', 'Diaper'})",frozenset({'Milk'}),0.5,0.7,0.3,0.6,0.8571428571428572,1.0,-0.04999999999999999,0.7500000000000001,-0.24999999999999997,0.33333333333333337,-0.3333333333333332,0.5142857142857142
"frozenset({'Beer', 'Milk'})",frozenset({'Diaper'}),0.3,0.6,0.3,1.0,1.6666666666666667,1.0,0.12,inf,0.5714285714285714,0.5000000000000001,1.0,0.75
"frozenset({'Diaper', 'Milk'})",frozenset({'Beer'}),0.4,0.5,0.3,0.7499999999999999,1.4999999999999998,1.0,0.09999999999999998,1.9999999999999991,0.5555555555555555,0.4999999999999999,0.4999999999999998,0.6749999999999999
frozenset({'Beer'}),"frozenset({'Diaper', 'Milk'})",0.5,0.4,0.3,0.6,1.4999999999999998,1.0,0.09999999999999998,1.4999999999999998,0.6666666666666665,0.4999999999999999,0.33333333333333326,0.6749999999999999
"frozenset({'Beer', 'Bread'})",frozenset({'Diaper'}),0.3,0.6,0.3,1.0,1.6666666666666667,1.0,0.12,inf,0.5714285714285714,0.5000000000000001,1.0,0.75
"frozenset({'Beer', 'Diaper'})",frozenset({'Bread'}),0.5,0.8,0.3,0.6,0.7499999999999999,1.0,-0.10000000000000003,0.4999999999999999,-0.40000000000000013,0.3,-1.0000000000000007,0.48749999999999993
"frozenset({'Bread', 'Diaper'})",frozenset({'Beer'}),0.4,0.5,0.3,0.7499999999999999,1.4999999999999998,1.0,0.09999999999999998,1.9999999999999991,0.5555555555555555,0.4999999999999999,0.4999999999999998,0.6749999999999999
frozenset({'Beer'}),"frozenset({'Bread', 'Diaper'})",0.5,0.4,0.3,0.6,1.4999999999999998,1.0,0.09999999999999998,1.4999999999999998,0.6666666666666665,0.4999999999999999,0.33333333333333326,0.6749999999999999
