support,itemsets
0.8,frozenset({'Bread'})
0.7,frozenset({'Milk'})
0.5,frozenset({'Butter'})
0.6,frozenset({'Diaper'})
0.5,frozenset({'Beer'})
0.6,"frozenset({'Bread', 'Milk'})"
0.5,"frozenset({'Bread', 'Butter'})"
0.4,"frozenset({'Milk', 'Butter'})"
0.4,"frozenset({'Bread', 'Milk', 'Butter'})"
0.4,"frozenset({'Diaper', 'Milk'})"
0.4,"frozenset({'Bread', 'Diaper'})"
0.3,"frozenset({'Bread', 'Diaper', 'Milk'})"
0.5,"frozenset({'Beer', 'Diaper'})"
0.3,"frozenset({'Beer', 'Milk'})"
0.3,"frozenset({'Beer', 'Bread'})"
0.3,"frozenset({'Beer', 'Diaper', 'Milk'})"
0.3,"frozenset({'Beer', 'Bread', 'Diaper'})"
